Timestamp,Meter,Imported (Wh),Imported Total reading (kWh),Imported (kWh)
06/01/2024 06:30,202,14265261,14265.261,0.045
06/01/2024 07:00,202,14265357,14265.357,0.096
06/01/2024 07:30,202,14266019,14266.019,0.662
06/01/2024 08:00,202,14266206,14266.206,0.187
06/01/2024 08:30,202,14266387,14266.387,0.181
06/01/2024 09:00,202,14266572,14266.572,0.185
06/01/2024 09:30,202,14266748,14266.748,0.176
06/01/2024 10:00,202,14266886,14266.886,0.138
06/01/2024 10:30,202,14266968,14266.968,0.082
06/01/2024 11:00,202,14267042,14267.042,0.074
06/01/2024 11:30,202,14267096,14267.096,0.054
06/01/2024 12:00,202,14267173,14267.173,0.077
06/01/2024 12:30,202,14267232,14267.232,0.059
06/01/2024 13:00,202,14267922,14267.922,0.69
06/01/2024 13:30,202,14268231,14268.231,0.309
06/01/2024 14:00,202,14268511,14268.511,0.28
06/01/2024 14:30,202,14268640,14268.64,0.129
06/01/2024 15:00,202,14268796,14268.796,0.156
06/01/2024 15:30,202,14269331,14269.331,0.535
06/01/2024 16:00,202,14270499,14270.499,1.168
06/01/2024 16:30,202,14271293,14271.293,0.794
06/01/2024 17:00,202,14272051,14272.051,0.758
06/01/2024 17:30,202,14272364,14272.364,0.313
06/01/2024 18:00,202,14272576,14272.576,0.212
06/01/2024 18:30,202,14272777,14272.777,0.201
06/01/2024 19:00,202,14273161,14273.161,0.384
06/01/2024 19:30,202,14274033,14274.033,0.872
06/01/2024 20:00,202,14274227,14274.227,0.194
06/01/2024 20:30,202,14275013,14275.013,0.786
06/01/2024 21:00,202,14275206,14275.206,0.193
06/01/2024 21:30,202,14275940,14275.94,0.734
06/01/2024 22:00,202,14276574,14276.574,0.634
06/01/2024 22:30,202,14277105,14277.105,0.531
06/01/2024 23:00,202,14277600,14277.6,0.495
06/01/2024 23:30,202,14277970,14277.97,0.37
07/01/2024 00:00,202,14278153,14278.153,0.183
07/01/2024 00:30,202,14278315,14278.315,0.162
07/01/2024 01:00,202,14278454,14278.454,0.139
07/01/2024 01:30,202,14278591,14278.591,0.137
07/01/2024 02:00,202,14278718,14278.718,0.127
07/01/2024 02:30,202,14278847,14278.847,0.129
07/01/2024 03:00,202,14278968,14278.968,0.121
07/01/2024 03:30,202,14279443,14279.443,0.475
07/01/2024 04:00,202,14279585,14279.585,0.142
07/01/2024 04:30,202,14279672,14279.672,0.087
07/01/2024 05:00,202,14279806,14279.806,0.134
07/01/2024 05:30,202,14279904,14279.904,0.098
07/01/2024 06:00,202,14279997,14279.997,0.093
07/01/2024 06:30,202,14280037,14280.037,0.04
07/01/2024 07:00,202,14280067,14280.067,0.03
07/01/2024 07:30,202,14280116,14280.116,0.049
07/01/2024 08:00,202,14280136,14280.136,0.02
07/01/2024 08:30,202,14280188,14280.188,0.052
07/01/2024 09:00,202,14280210,14280.21,0.022
07/01/2024 09:30,202,14280509,14280.509,0.299
07/01/2024 10:00,202,14280720,14280.72,0.211
07/01/2024 10:30,202,14280861,14280.861,0.141
07/01/2024 11:00,202,14280990,14280.99,0.129
07/01/2024 11:30,202,14281119,14281.119,0.129
07/01/2024 12:00,202,14281702,14281.702,0.583
07/01/2024 12:30,202,14281889,14281.889,0.187
07/01/2024 13:00,202,14282052,14282.052,0.163
07/01/2024 13:30,202,14282241,14282.241,0.189
07/01/2024 14:00,202,14282417,14282.417,0.176
07/01/2024 14:30,202,14282605,14282.605,0.188
07/01/2024 15:00,202,14282803,14282.803,0.198
07/01/2024 15:30,202,14282976,14282.976,0.173
07/01/2024 16:00,202,14283194,14283.194,0.218
07/01/2024 16:30,202,14283997,14283.997,0.803
07/01/2024 17:00,202,14284762,14284.762,0.765
